repository,star_range,star,latest_push,files,total_dependencies,number_of_vulnerabilities,ghsa,cve_strings,cvss,severity,sploitus_number_of_pocs
airswap/airswap-protocols,150..240,239,2025-09-16T16:14:31Z,package.json,75,9,"GHSA-qw6h-vgh9-j6wx,GHSA-qwcr-r2fm-qrc7,GHSA-5h3x-9wvq-w4m2,GHSA-3h5v-q93c-6h6q,GHSA-6fc8-4gx4-v693,GHSA-wprv-93r4-jj2p,GHSA-9vx6-7xxf-x967,GHSA-rv95-896h-c2vc,GHSA-g4vp-m682-qqmp","CVE-2024-45590,CVE-2023-40014,CVE-2024-27094,CVE-2024-37890,CVE-2021-32640,CVE-2024-43796,CVE-2024-29041,CVE-2023-34234,CVE-2023-34459","7.5,5.0,5.3","HIGH,MODERATE,LOW,MODERATE,MODERATE,MODERATE,LOW,MODERATE,HIGH",0
anvc/scalar,150..240,239,2025-09-07T19:40:15Z,package.json,3,0,,,,,0
nroutasuo/level13,150..240,239,2025-09-06T18:16:07Z,package.json,0,0,,,,,0
Rfym21/Qwen2API,150..240,239,2025-09-19T05:58:26Z,package.json,22,13,"GHSA-g4jq-h2w9-997c,GHSA-vg6x-rcgg-rjx6,GHSA-9cwx-2883-4wfx,GHSA-x5gf-qvw8-r2rm,GHSA-x574-m823-4x7w,GHSA-jqfw-vq24-v9c3,GHSA-64vr-g452-qvp3,GHSA-859w-5945-r5v3,GHSA-4r4m-qw57-chr8,GHSA-fjxv-7rqg-78g4,GHSA-356w-63v5-8wf4,GHSA-4hjh-wcwx-xvwj,GHSA-xcj6-pq6g-qj4x","CVE-2025-46565,CVE-2025-24010,CVE-2025-31486,CVE-2024-45812,CVE-2024-45811,CVE-2025-7783,CVE-2025-58751,CVE-2025-30208,CVE-2025-58752,CVE-2025-5891,CVE-2025-31125,CVE-2025-58754,CVE-2025-32395",5.3,"CRITICAL,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,LOW,LOW,HIGH,HIGH",33
opengeos/mapwidget,150..240,239,2025-09-14T22:59:20Z,package.json,0,0,,,,,0
eGovFramework/egovframe-template-simple-react,150..240,239,2025-09-17T07:30:03Z,package.json,19,2,"GHSA-g4jq-h2w9-997c,GHSA-jqfw-vq24-v9c3","CVE-2025-58752,CVE-2025-58751",5.3,"LOW,LOW",0
DarkModderVC/PS4JB,150..240,238,2025-09-22T13:25:53Z,package.json,0,0,,,,,0
adamgruber/mochawesome-report-generator,150..240,239,2025-09-16T21:49:43Z,package.json,88,22,"GHSA-xx4c-jj58-r7x6,GHSA-hwj9-h5mp-3pm3,GHSA-566m-qj78-rww5,GHSA-29mw-wpgm-hmr9,GHSA-cph5-m8f7-6c5x,GHSA-42xw-2xvc-qx8m,GHSA-4hjh-wcwx-xvwj,GHSA-4v9v-hfq4-rm2v,GHSA-jf85-cpcp-j695,GHSA-7fh5-64p2-3v2j,GHSA-fvqr-27wr-82fm,GHSA-p6mc-m468-83gw,GHSA-wf5p-g6vw-rhxx,GHSA-9jgg-88mc-972h,GHSA-4w2v-q235-vp99,GHSA-7wwv-vh3v-89cq,GHSA-35jh-r3h4-6jhm,GHSA-4xc9-xhrj-v574,GHSA-qgmg-gppg-76g5,GHSA-x5rq-j2xg-h7qm,GHSA-jr5f-v2jv-69x6,GHSA-vfrc-7r7c-w9mx","CVE-2021-3749,CVE-2019-1010266,CVE-2021-3765,CVE-2020-26237,CVE-2018-16487,CVE-2025-30360,CVE-2025-58754,CVE-2020-28168,CVE-2020-8203,CVE-2021-23382,CVE-2021-23337,CVE-2018-3721,CVE-2023-44270,CVE-2025-27152,CVE-2019-10744,CVE-2023-45857,CVE-2025-30359,CVE-2021-23368,CVE-2024-57965,CVE-2020-28500,CVE-2019-10742","5.3,7.2,5.3,5.8,0.0","MODERATE,MODERATE,MODERATE,MODERATE,HIGH,MODERATE,CRITICAL,HIGH,MODERATE,HIGH,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,MODERATE,HIGH,MODERATE,HIGH,HIGH",1
revtel/react-native-nfc-rewriter,150..240,238,2025-09-19T11:14:39Z,package.json,42,1,GHSA-968p-4wvh-cqc8,CVE-2025-27789,,MODERATE,0
semantic-release/env-ci,150..240,238,2025-09-22T00:31:35Z,package.json,7,0,,,,,0
knowledge-work/eslint-plugin-strict-dependencies,150..240,238,2025-09-21T20:21:22Z,package.json,5,0,,,,,0
fastify/secure-json-parse,150..240,237,2025-09-21T09:06:08Z,package.json,9,0,,,,,0
Devtography/electron-react-typescript-webpack-boilerplate,150..240,238,2025-09-17T14:39:17Z,package.json,21,6,"GHSA-7x97-j373-85x5,GHSA-p7v2-p9m8-qqg7,GHSA-vmqv-hx8q-j7mg,GHSA-7m48-wc93-9g85,GHSA-6r2x-8pq8-9489,GHSA-qqvq-6xgj-jw8g","CVE-2024-46993,CVE-2023-29198,CVE-2023-44402,CVE-2023-5217,CVE-2023-39956,CVE-2025-55305",6.1,"MODERATE,MODERATE,MODERATE,HIGH,MODERATE,MODERATE",2
Petitoto/chromium-exploit-dev,150..240,237,2025-09-20T19:30:37Z,package.json,0,0,,,,,0
trailheadapps/easy-spaces-lwc,150..240,237,2025-09-02T19:15:47Z,package.json,15,0,,,,,0
tryethernal/ethernal,150..240,238,2025-09-19T06:16:50Z,package.json,153,27,"GHSA-hjrf-2m68-5959,GHSA-whpj-8f3w-67p5,GHSA-x5gf-qvw8-r2rm,GHSA-cph5-m8f7-6c5x,GHSA-xj72-wvfv-8985,GHSA-rv95-896h-c2vc,GHSA-3wf4-68gx-mph8,GHSA-cchq-frgv-rjh5,GHSA-qwph-4952-7xr6,GHSA-7jxr-cg7f-gpgv,GHSA-4hjh-wcwx-xvwj,GHSA-g4jq-h2w9-997c,GHSA-qwcr-r2fm-qrc7,GHSA-qw6h-vgh9-j6wx,GHSA-wf5p-g6vw-rhxx,GHSA-8cf7-32gw-wr33,GHSA-27v7-qhfv-rqq8,GHSA-g644-9gfx-q4q4,GHSA-r683-j2x4-v87g,GHSA-8hc4-vh64-cxmj,GHSA-jqfw-vq24-v9c3,GHSA-9crc-q9x8-hgqq,GHSA-859w-5945-r5v3,GHSA-r5w7-f542-q2j4,GHSA-jr5f-v2jv-69x6,GHSA-p5gc-c584-jj6v,GHSA-ch3r-j5x3-6q2m","CVE-2024-39338,CVE-2021-3749,CVE-2025-46565,CVE-2022-23541,CVE-2023-32314,CVE-2024-11023,CVE-2024-43796,CVE-2023-30547,CVE-2024-29041,CVE-2022-23539,CVE-2025-58754,CVE-2023-29017,CVE-2025-24964,CVE-2024-45590,CVE-2022-23540,CVE-2022-0235,CVE-2023-29199,CVE-2025-58751,CVE-2025-5891,CVE-2025-27152,CVE-2024-57965,CVE-2023-45857,CVE-2023-37903,CVE-2025-58752,CVE-2023-37466,CVE-2023-32313","7.5,9.8,0.0,5.3,8.8,4.3,0.0,5.0,5.0,5.9,0.0","HIGH,CRITICAL,CRITICAL,CRITICAL,MODERATE,CRITICAL,CRITICAL,CRITICAL,CRITICAL,HIGH,MODERATE,HIGH,HIGH,MODERATE,LOW,LOW,LOW,HIGH,LOW,MODERATE,HIGH,HIGH,MODERATE,LOW,MODERATE,LOW,HIGH,MODERATE,MODERATE,MODERATE,LOW,MODERATE,HIGH,HIGH,HIGH",6
lsfusion-solutions/mycompany,150..240,237,2025-09-19T07:04:45Z,package.json,0,0,,,,,0
zikula/core,150..240,237,2025-09-21T14:10:47Z,package.json,0,0,,,,,0
sissbruecker/linkding-extension,150..240,237,2025-09-04T20:36:32Z,package.json,5,0,,,,,0
mapbox/node-fontnik,150..240,237,2025-08-25T10:19:56Z,package.json,14,1,GHSA-xvch-5gv4-984h,CVE-2021-44906,,CRITICAL,0
swyxio/gh-action-data-scraping,150..240,237,2025-09-22T15:00:33Z,package.json,1,0,,,,,0
potato4d/nuxt-client-init-module,150..240,237,2024-11-28T03:39:25Z,package.json,9,2,"GHSA-vf6r-87q4-2vjf,GHSA-p8p7-x288-28g6","CVE-2024-34343,CVE-2023-28155",6.3,"MODERATE,MODERATE",0
mozilla/eslint-plugin-no-unsanitized,150..240,237,2025-09-05T14:38:03Z,package.json,12,0,,,,,0
markdown-it/markdown-it-footnote,150..240,236,2025-09-12T10:17:08Z,package.json,10,1,GHSA-gcx4-mw62-g8wm,CVE-2024-47068,6.1,HIGH,0
ingui-n/musescore-downloader,150..240,237,2025-09-22T15:29:07Z,package.json,21,0,,,,,0
EFForg/cover-your-tracks,150..240,237,2025-09-17T12:40:49Z,package.json,21,3,"GHSA-j383-35pm-c5h4,GHSA-m5pj-vjjf-4m3h,GHSA-rm36-94g8-835r","CVE-2022-1537,CVE-2022-0436,CVE-2020-7729",7.8,"HIGH,MODERATE,HIGH",1
anthonynosek/sprint-reader-chrome,150..240,236,2025-09-20T08:20:29Z,package.json,0,0,,,,,0
oskarrough/slaytheweb,150..240,236,2025-09-10T16:38:18Z,package.json,20,0,,,,,0
dev-family/admiral,150..240,237,2025-09-19T19:18:30Z,package.json,88,21,"GHSA-vg6x-rcgg-rjx6,GHSA-9cwx-2883-4wfx,GHSA-x574-m823-4x7w,GHSA-64vr-g452-qvp3,GHSA-356w-63v5-8wf4,GHSA-mv48-hcvh-8jj8,GHSA-4hjh-wcwx-xvwj,GHSA-m95q-7qp3-xv42,GHSA-g4jq-h2w9-997c,GHSA-353f-5xf4-qw67,GHSA-7fh5-64p2-3v2j,GHSA-wf5p-g6vw-rhxx,GHSA-mwcw-c2x4-8c55,GHSA-jqfw-vq24-v9c3,GHSA-c24v-8rfc-w8vw,GHSA-8jhw-289h-jh2g,GHSA-859w-5945-r5v3,GHSA-4r4m-qw57-chr8,GHSA-jr5f-v2jv-69x6,GHSA-xcj6-pq6g-qj4x","CVE-2023-34092,CVE-2025-46565,CVE-2025-31486,CVE-2023-4316,CVE-2025-58752,CVE-2025-30208,CVE-2024-23331,CVE-2025-58754,CVE-2022-35204,CVE-2024-55565,CVE-2025-24010,CVE-2023-44270,CVE-2024-45812,CVE-2024-45811,CVE-2025-27152,CVE-2025-58751,CVE-2024-57965,CVE-2023-45857,CVE-2024-31207,CVE-2025-31125,CVE-2025-32395","0.0,5.3","MODERATE,MODERATE,MODERATE,MODERATE,HIGH,HIGH,HIGH,HIGH,HIGH,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,LOW",32
mikakaraila/node-red-contrib-opcua,150..240,236,2025-09-16T09:53:40Z,package.json,15,3,"GHSA-7x7c-qm48-pq9c,GHSA-rc3x-jf5g-xvc5,GHSA-fwr7-v2mv-hh25","CVE-2021-43138,CVE-2021-23495,CVE-2022-0437","7.8,5.4","HIGH,MODERATE,MODERATE",0
Martin36/react-gauge-chart,150..240,236,2025-09-22T00:42:28Z,package.json,15,2,"GHSA-8mmm-9v2q-x3f9,GHSA-968p-4wvh-cqc8","CVE-2025-27789,CVE-2022-37611",,"MODERATE,CRITICAL",0
kharchenkolab/pagoda2,150..240,236,2025-09-22T11:17:23Z,package.json,0,0,,,,,0
jadjoubran/codetogo.io,150..240,236,2025-09-08T00:57:40Z,package.json,18,1,GHSA-g3ch-rx76-35fx,CVE-2024-6783,,MODERATE,0
trungquandev/trungquandev-public-utilities-algorithms,150..240,237,2025-09-19T03:25:02Z,package.json,87,18,"GHSA-vg6x-rcgg-rjx6,GHSA-9cwx-2883-4wfx,GHSA-x574-m823-4x7w,GHSA-64vr-g452-qvp3,GHSA-rv95-896h-c2vc,GHSA-356w-63v5-8wf4,GHSA-4hjh-wcwx-xvwj,GHSA-g4jq-h2w9-997c,GHSA-qw6h-vgh9-j6wx,GHSA-8hc4-vh64-cxmj,GHSA-jqfw-vq24-v9c3,GHSA-968p-4wvh-cqc8,GHSA-8jhw-289h-jh2g,GHSA-9h6g-pr28-7cqp,GHSA-859w-5945-r5v3,GHSA-4r4m-qw57-chr8,GHSA-jr5f-v2jv-69x6,GHSA-xcj6-pq6g-qj4x","CVE-2024-39338,CVE-2025-46565,CVE-2025-32395,CVE-2025-31486,CVE-2025-30208,CVE-2024-43796,CVE-2024-29041,CVE-2025-58754,CVE-2025-27789,CVE-2025-24010,CVE-2024-45812,CVE-2024-45811,CVE-2025-58751,CVE-2025-27152,CVE-2024-57965,CVE-2024-31207,CVE-2025-31125,CVE-2025-58752","5.3,5.0,5.0,5.3,0.0,5.3","MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,LOW,HIGH,HIGH,HIGH,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,LOW",34
no-gravity/html_editor,150..240,235,2025-09-11T14:38:45Z,package.json,0,0,,,,,0
MFLS2023/Google-AI-Studio-Gemini-Key-Scripts,150..240,235,2025-09-22T13:02:22Z,package.json,0,0,,,,,0
stylelint-scss/stylelint-config-recommended-scss,150..240,235,2025-09-11T18:28:57Z,package.json,12,0,,,,,0
Chaphasilor/jellyfin-rewind,150..240,235,2025-09-22T07:59:19Z,package.json,9,14,"GHSA-g4jq-h2w9-997c,GHSA-vg6x-rcgg-rjx6,GHSA-7fh5-64p2-3v2j,GHSA-9cwx-2883-4wfx,GHSA-x574-m823-4x7w,GHSA-jqfw-vq24-v9c3,GHSA-64vr-g452-qvp3,GHSA-8jhw-289h-jh2g,GHSA-859w-5945-r5v3,GHSA-4r4m-qw57-chr8,GHSA-92r3-m2mg-pj97,GHSA-356w-63v5-8wf4,GHSA-c24v-8rfc-w8vw,GHSA-xcj6-pq6g-qj4x","CVE-2025-31125,CVE-2025-46565,CVE-2025-24010,CVE-2025-31486,CVE-2023-44270,CVE-2024-45812,CVE-2024-45811,CVE-2025-58751,CVE-2025-58752,CVE-2025-30208,CVE-2024-23331,CVE-2024-31207,CVE-2023-49293,CVE-2025-32395",5.3,"MODERATE,MODERATE,HIGH,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,LOW",16
nodejs/changelog-maker,150..240,235,2025-09-05T04:49:51Z,package.json,18,0,,,,,0
jahidulislamzim/JavaScriptCodingChallenges,150..240,235,2025-09-04T14:58:04Z,package.json,0,0,,,,,0
Jimex/DictTango-Android,150..240,235,2025-09-20T17:05:49Z,package.json,0,0,,,,,0
good-lly/lowstorage,150..240,235,2025-09-13T12:26:03Z,package.json,11,1,GHSA-92vj-g62v-jqhh,CVE-2025-59139,5.3,MODERATE,0
sandorTuranszky/production-ready-expressjs-server,150..240,235,2025-07-22T15:48:54Z,package.json,44,22,"GHSA-qw6h-vgh9-j6wx,GHSA-4x6g-3cmx-w76r,GHSA-8cf7-32gw-wr33,GHSA-4vrv-93c7-m92j,GHSA-hpqj-7cj6-hfj8,GHSA-hjrf-2m68-5959,GHSA-vg7j-7cwx-8wgw,GHSA-9m93-w8w6-76hh,GHSA-6hwc-9h8r-3vmf,GHSA-f825-f98c-gj3g,GHSA-h8hf-x3f4-xwgp,GHSA-rv95-896h-c2vc,GHSA-gxpj-cx7g-858c,GHSA-35q2-47q7-3pc3,GHSA-m7xq-9374-9rvx,GHSA-qwph-4952-7xr6","CVE-2023-3696,CVE-2017-16137,CVE-2021-29469,CVE-2022-40764,BIT-mongoose-2023-3696,CVE-2022-22984,CVE-2022-2564,CVE-2022-23540,CVE-2024-53900,CVE-2025-23061,CVE-2025-48367,GO-2025-3789,CVE-2022-24304,CVE-2025-6624,CVE-2022-23541,CVE-2021-39134,CVE-2021-32761,CVE-2022-24441,CVE-2024-43796,CVE-2024-29041,CVE-2022-23539,BIT-mongoose-2022-2564","10.0,7.5,7.5,5.0,8.2,5.9","HIGH,CRITICAL,CRITICAL,HIGH,CRITICAL,HIGH,HIGH,MODERATE,LOW,HIGH,LOW,MODERATE,LOW,HIGH,MODERATE,MODERATE",4
ONLYOFFICE/server,150..240,235,2025-09-20T00:47:09Z,package.json,64,7,"GHSA-qw6h-vgh9-j6wx,GHSA-4pg4-qvpc-4q3h,GHSA-fjgf-rc76-4x9p,GHSA-g5hg-p3ph-g8qg,GHSA-44fp-w29j-9vj5,GHSA-4hjh-wcwx-xvwj,GHSA-pw25-c82r-75mm","CVE-2025-47935,CVE-2025-57814,CVE-2024-43796,CVE-2025-47944,CVE-2025-58754,CVE-2025-7338,CVE-2025-48997",5.0,"MODERATE,LOW,HIGH,HIGH,HIGH,HIGH,HIGH",0
manusa/electronim,150..240,235,2025-09-22T15:39:02Z,package.json,42,1,GHSA-4hjh-wcwx-xvwj,CVE-2025-58754,,HIGH,0
activitypods/activitypods,150..240,235,2025-09-19T18:48:35Z,package.json,136,8,"GHSA-cgfm-xwp7-2cvr,GHSA-3h5v-q93c-6h6q,GHSA-r683-j2x4-v87g,GHSA-49w6-73cw-chjr,GHSA-c4pw-33h3-35xw,GHSA-m85w-3h95-hcf9,GHSA-xf8x-j4p2-f749,GHSA-rm97-x556-q36h","CVE-2024-56140,CVE-2024-47885,CVE-2024-56159,CVE-2022-25887,CVE-2024-21501,CVE-2025-55303,CVE-2024-37890,CVE-2022-0235","8.8,5.3","HIGH,MODERATE,MODERATE,HIGH,MODERATE,HIGH,HIGH,MODERATE",2
jd-opensource/jd-easyflow,150..240,234,2025-09-17T05:45:34Z,package.json,0,0,,,,,0
jshttp/content-disposition,150..240,234,2025-07-23T12:28:19Z,package.json,8,0,,,,,0
ronkok/Temml,150..240,234,2025-09-20T15:23:51Z,package.json,7,0,,,,,0
Mr0grog/google-docs-to-markdown,150..240,234,2025-09-21T22:27:49Z,package.json,33,3,"GHSA-9jgg-88mc-972h,GHSA-4vvj-4cpr-p986,GHSA-4v9v-hfq4-rm2v","CVE-2024-43788,CVE-2025-30359,CVE-2025-30360",6.4,"MODERATE,MODERATE,MODERATE",0
lieser/dkim_verifier,150..240,234,2025-09-18T20:44:31Z,package.json,31,0,,,,,0
XhstormR/BaiduNetdisk-WAP,150..240,234,2025-09-08T04:16:10Z,package.json,0,0,,,,,0
EFHIII/balatro-calculator,150..240,233,2025-09-18T19:53:23Z,package.json,0,0,,,,,0
cirosantilli/cirosantilli,150..240,233,2025-09-21T09:30:34Z,package.json,2,1,GHSA-7r3h-m5j6-3q42,CVE-2022-35954,,MODERATE,0
memte/ExampleBot,150..240,233,2025-09-17T10:51:58Z,package.json,3,0,,,,,0
oracle/netsuite-suitecloud-sdk,150..240,234,2025-09-21T10:59:25Z,package.json,20,0,,,,,0
stashapp/CommunityScripts,150..240,233,2025-09-16T15:58:15Z,package.json,5,0,,,,,0
freshworks/crayons,150..240,233,2025-09-08T11:31:51Z,package.json,127,9,"GHSA-7fh5-64p2-3v2j,GHSA-wf5p-g6vw-rhxx,GHSA-r8f7-9pfq-mjmv,GHSA-gcx4-mw62-g8wm,GHSA-x2pg-mjhr-2m5x,GHSA-jr5f-v2jv-69x6,GHSA-4hjh-wcwx-xvwj","CVE-2020-26226,CVE-2020-24025,CVE-2023-44270,CVE-2025-27152,CVE-2024-57965,CVE-2023-45857,CVE-2025-58754,CVE-2024-47068,CVE-2022-31051","8.1,0.0,6.1,6.1,8.1,6.1","MODERATE,MODERATE,HIGH,HIGH,HIGH,MODERATE,MODERATE",0
microsoft/Power-CAT-Copilot-Studio-Kit,150..240,233,2025-09-21T17:06:56Z,package.json,0,0,,,,,0
xiguapiwork/nanobanana,150..240,233,2025-09-22T13:22:35Z,package.json,0,0,,,,,0
mafintosh/streamx,150..240,232,2025-09-22T08:57:04Z,package.json,7,0,,,,,0
MrPrimate/ddb-importer,150..240,232,2025-09-20T10:31:30Z,package.json,10,2,"GHSA-4wf5-vphf-c2xc,GHSA-4vvj-4cpr-p986","CVE-2024-43788,CVE-2022-25858","5.3,6.4","HIGH,MODERATE",0
joeax/svidget,150..240,232,2025-09-17T16:28:14Z,package.json,11,3,"GHSA-j383-35pm-c5h4,GHSA-m5pj-vjjf-4m3h,GHSA-rm36-94g8-835r","CVE-2022-1537,CVE-2022-0436,CVE-2020-7729",7.8,"HIGH,MODERATE,HIGH",1
madetech/handbook,150..240,232,2025-09-20T17:41:59Z,package.json,3,0,,,,,0
xiaolin-007/clash-verge-script,150..240,232,2025-09-22T09:55:24Z,package.json,0,0,,,,,0
doggy8088/TampermonkeyUserscripts,150..240,232,2025-09-16T10:22:00Z,package.json,8,1,GHSA-67mh-4wv8-2f99,,,"MODERATE,MODERATE",0
aws-actions/aws-lambda-deploy,150..240,232,2025-09-22T12:06:06Z,package.json,13,0,,,,,0
near/NEPs,150..240,232,2025-09-18T17:41:15Z,package.json,16,0,,,,,0
cnbloglabs/awescnb,150..240,231,2025-09-20T21:04:14Z,package.json,63,0,,,,,0
apacheli/discord-api-libs,150..240,231,2025-09-22T01:17:54Z,package.json,0,0,,,,,0
OdyseeTeam/odysee-frontend,150..240,233,2025-09-21T16:15:45Z,package.json,258,42,"GHSA-4vvj-4cpr-p986,GHSA-pp7m-6j83-m7r6,GHSA-5g97-whc9-8g7j,GHSA-29mw-wpgm-hmr9,GHSA-p7v2-p9m8-qqg7,GHSA-77xc-hjv8-ww97,GHSA-7m48-wc93-9g85,GHSA-qqvq-6xgj-jw8g,GHSA-7x97-j373-85x5,GHSA-4v9v-hfq4-rm2v,GHSA-qw6h-vgh9-j6wx,GHSA-p6mc-m468-83gw,GHSA-8r4g-cg4m-x23c,GHSA-rc3x-jf5g-xvc5,GHSA-r683-j2x4-v87g,GHSA-9jxc-qjr9-vjxq,GHSA-p2jh-44qj-pf2v,GHSA-4gw3-8f77-f72c,GHSA-7x7c-qm48-pq9c,GHSA-x2rg-q646-7m2v,GHSA-884p-74jh-xrg2,GHSA-c2qf-rxjj-qqgw,GHSA-gcx4-mw62-g8wm,GHSA-mpjm-v997-c4h4,GHSA-chwr-hf3w-c984,GHSA-r8f7-9pfq-mjmv,GHSA-fhg7-m89q-25r3,GHSA-3p22-ghq8-v749,GHSA-jgmv-j7ww-jx2x,GHSA-3wf4-68gx-mph8,GHSA-rv95-896h-c2vc,GHSA-593f-38f6-jp5m,GHSA-7fh5-64p2-3v2j,GHSA-hcrg-fc28-fcg5,GHSA-9jgg-88mc-972h,GHSA-xwcq-pm8m-c4vf,GHSA-f982-mxwc-3mrx,GHSA-35jh-r3h4-6jhm,GHSA-j7fq-p9q7-5wfv,GHSA-vmqv-hx8q-j7mg,GHSA-mq8j-3h7h-p8g7,GHSA-6r2x-8pq8-9489","CVE-2021-39184,CVE-2023-44402,CVE-2023-5217,CVE-2022-29257,CVE-2024-11023,CVE-2019-14939,CVE-2023-26111,CVE-2024-47068,CVE-2020-8203,CVE-2021-23414,CVE-2021-23495,CVE-2023-46233,CVE-2023-44270,CVE-2025-55305,CVE-2025-25283,CVE-2022-25927,CVE-2023-29198,CVE-2024-46993,CVE-2025-30359,CVE-2025-8129,CVE-2025-32379,CVE-2022-29247,CVE-2022-25883,CVE-2025-25200,CVE-2022-0437,CVE-2020-7755,CVE-2019-15599,CVE-2019-15598,CVE-2022-36077,CVE-2024-43796,CVE-2024-29041,CVE-2022-21718,CVE-2020-7760,CVE-2025-30360,CVE-2021-23337,CVE-2020-24025,CVE-2022-0235,CVE-2024-43788,CVE-2024-39698,CVE-2020-28500,CVE-2023-39956","5.3,6.4,7.5,8.8,9.1,5.0,6.6,5.4,5.3,5.3,3.5,5.5,6.5","HIGH,CRITICAL,MODERATE,HIGH,MODERATE,HIGH,HIGH,HIGH,CRITICAL,MODERATE,LOW,HIGH,MODERATE,MODERATE,MODERATE,LOW,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,MODERATE,MODERATE,HIGH,MODERATE,MODERATE,MODERATE,HIGH,MODERATE,MODERATE,HIGH,MODERATE,HIGH,CRITICAL,MODERATE,LOW,HIGH,MODERATE,MODERATE,MODERATE",3
DevUnltd/js-library-boilerplate,150..240,232,2025-09-22T08:20:40Z,package.json,53,2,"GHSA-9jgg-88mc-972h,GHSA-4v9v-hfq4-rm2v","CVE-2025-30359,CVE-2025-30360",,"MODERATE,MODERATE",0
nuxt/http,150..240,231,2025-04-04T04:28:44Z,package.json,30,3,"GHSA-r683-j2x4-v87g,GHSA-jvhm-gjrh-3h93,GHSA-vf6r-87q4-2vjf","CVE-2024-34343,CVE-2022-0235,CVE-2025-27415","6.3,8.8","MODERATE,HIGH,HIGH",2
Rello/audioplayer,150..240,231,2025-09-21T03:38:24Z,package.json,0,0,,,,,0
