repository,star_range,star,latest_push,files,total_dependencies,number_of_vulnerabilities,ghsa,cve_strings,cvss,severity,sploitus_number_of_pocs
thomas4019/expressa,240..450,447,2025-09-22T02:16:59Z,package.json,97,25,"GHSA-9wv6-86v2-598j,GHSA-4hjh-wcwx-xvwj,GHSA-cwx2-736x-mf6w,GHSA-jr5f-v2jv-69x6,GHSA-qwcr-r2fm-qrc7,GHSA-wf5p-g6vw-rhxx,GHSA-gxpj-cx7g-858c,GHSA-4v9v-hfq4-rm2v,GHSA-5j4c-8p2g-v4jx,GHSA-gxr4-xjj5-5px2,GHSA-vc8w-jr9v-vj7f,GHSA-rv95-896h-c2vc,GHSA-9jgg-88mc-972h,GHSA-qw6h-vgh9-j6wx,GHSA-c2qf-rxjj-qqgw,GHSA-9v3m-8fp8-mj99,GHSA-jpcq-cgw6-v4j6,GHSA-8v63-cqqc-6r2c,GHSA-cph5-m8f7-6c5x,GHSA-v39p-96qg-c8rf,GHSA-g3ch-rx76-35fx,GHSA-9vvw-cc9w-f27h,GHSA-6c3j-c64m-qhgq","CVE-2020-15256,CVE-2025-30359,CVE-2021-3749,CVE-2024-29041,CVE-2025-27152,CVE-2024-43796,CVE-2021-3805,CVE-2019-8331,CVE-2024-6783,BIT-drupal-2020-11023,CVE-2024-9506,CVE-2019-11358,CVE-2020-11023,CVE-2024-45296,BIT-drupal-2020-11022,CVE-2025-58754,CVE-2024-6531,CVE-2024-45590,CVE-2021-23434,CVE-2020-11022,CVE-2023-45857,CVE-2017-20165,CVE-2025-30360,CVE-2017-16137,CVE-2022-25883","7.5,5.3,6.9,7.5,3.5,7.5,5.0","LOW,HIGH,MODERATE,HIGH,HIGH,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,MODERATE,HIGH,HIGH,MODERATE,MODERATE,HIGH,LOW,HIGH,HIGH,MODERATE,MODERATE,MODERATE,LOW",9
JoinColony/colonyNetwork,240..450,444,2025-08-22T11:52:58Z,package.json,90,4,"GHSA-jr5f-v2jv-69x6,GHSA-4hjh-wcwx-xvwj,GHSA-qw6h-vgh9-j6wx,GHSA-qwcr-r2fm-qrc7","CVE-2025-58754,CVE-2025-27152,CVE-2024-45590,CVE-2024-43796","7.5,7.5,5.0,7.5","HIGH,HIGH,HIGH,LOW,HIGH,HIGH",0
Nainish-Rai/NextTube,240..450,443,2025-09-24T07:23:02Z,package.json,20,18,"GHSA-356w-63v5-8wf4,GHSA-64vr-g452-qvp3,GHSA-7fh5-64p2-3v2j,GHSA-vg6x-rcgg-rjx6,GHSA-8hc4-vh64-cxmj,GHSA-9cwx-2883-4wfx,GHSA-4hjh-wcwx-xvwj,GHSA-g4jq-h2w9-997c,GHSA-c24v-8rfc-w8vw,GHSA-jr5f-v2jv-69x6,GHSA-xcj6-pq6g-qj4x,GHSA-wf5p-g6vw-rhxx,GHSA-x574-m823-4x7w,GHSA-859w-5945-r5v3,GHSA-jqfw-vq24-v9c3,GHSA-4r4m-qw57-chr8,GHSA-8jhw-289h-jh2g,GHSA-353f-5xf4-qw67","CVE-2024-23331,CVE-2024-45811,CVE-2023-34092,CVE-2025-30208,CVE-2025-24010,CVE-2025-31486,CVE-2024-39338,CVE-2024-31207,CVE-2025-58754,CVE-2025-27152,CVE-2024-45812,CVE-2025-32395,CVE-2025-58751,CVE-2023-45857,CVE-2025-46565,CVE-2023-44270,CVE-2025-31125,CVE-2025-58752","5.3,7.5","HIGH,HIGH,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,LOW,MODERATE,HIGH,HIGH,HIGH,MODERATE",32
cypress-io/code-coverage,240..450,443,2025-09-24T13:16:34Z,package.json,45,5,"GHSA-4vvj-4cpr-p986,GHSA-rv95-896h-c2vc,GHSA-x2pg-mjhr-2m5x,GHSA-qw6h-vgh9-j6wx,GHSA-hc6q-2mpp-qw7j","CVE-2022-31051,CVE-2024-29041,CVE-2024-43796,CVE-2024-43788,CVE-2023-28154","6.4,5.0","CRITICAL,MODERATE,MODERATE,LOW,MODERATE",0
gorse-io/gitrec,240..450,442,2025-09-23T12:08:40Z,package.json,16,5,"GHSA-g3ch-rx76-35fx,GHSA-5j4c-8p2g-v4jx,GHSA-4hjh-wcwx-xvwj,GHSA-jr5f-v2jv-69x6,GHSA-wf5p-g6vw-rhxx","CVE-2025-58754,CVE-2024-6783,CVE-2023-45857,CVE-2024-9506,CVE-2025-27152",7.5,"LOW,MODERATE,HIGH,HIGH,MODERATE",0
microlinkhq/keyvhq,240..450,442,2025-09-24T09:11:15Z,package.json,51,1,GHSA-vxvm-qww3-2fh7,CVE-2021-32050,,MODERATE,0
CNFeffery/feffery-antd-components,240..450,443,2025-09-21T12:39:19Z,package.json,54,6,"GHSA-m6cx-g6qm-p2cx,GHSA-4328-8hgf-7wjr,GHSA-93f3-23rq-pjfp,GHSA-x8qc-rrcw-4r46","CVE-2019-16775,CVE-2019-16777,CVE-2021-39134,CVE-2019-16776,CVE-2020-15095,CVE-2021-42581","8.2,9.1","HIGH,HIGH,HIGH,MODERATE",0
streamich/nano-css,240..450,442,2025-07-26T15:35:22Z,package.json,37,3,"GHSA-9jgg-88mc-972h,GHSA-4v9v-hfq4-rm2v","CVE-2025-30360,CVE-2025-9308,CVE-2025-30359",3.3,"MODERATE,MODERATE",0
fangkuia/XPTV,240..450,441,2025-09-24T13:30:13Z,package.json,0,0,,,,,0
humanwhocodes/crosspost,240..450,442,2025-09-16T08:05:52Z,package.json,22,0,,,,,0
pyladies/pyladies,240..450,442,2025-09-23T23:27:47Z,package.json,27,4,"GHSA-rm36-94g8-835r,GHSA-m5pj-vjjf-4m3h,GHSA-j383-35pm-c5h4,GHSA-rrj3-qmh8-72pf","CVE-2016-10526,CVE-2022-1537,CVE-2020-7729,CVE-2022-0436","7.8,8.6","HIGH,MODERATE,HIGH,MODERATE",1
chalk/ansi-styles,240..450,440,2025-09-19T03:41:11Z,package.json,4,0,,,,,0
alejoacosta74/blockchain-bike-rental,240..450,441,2025-09-22T21:09:10Z,package.json,7,5,"GHSA-mx2q-35m2-x2rh,GHSA-fg47-3c2x-m2wr,GHSA-9c22-pwxw-p6hx,GHSA-88g8-f5mf-f5rj,GHSA-7grf-83vw-6f5x","CVE-2021-39167,CVE-2021-46320,CVE-2023-30541,CVE-2022-39384,CVE-2022-35915",,"CRITICAL,HIGH,MODERATE,MODERATE,MODERATE",1
sindresorhus/element-ready,240..450,440,2025-09-08T10:20:44Z,package.json,8,0,,,,,0
amazon-connect/amazon-connect-streams,240..450,440,2025-09-19T20:36:19Z,package.json,31,1,GHSA-4vvj-4cpr-p986,CVE-2024-43788,6.4,MODERATE,0
HackYourFuture/React,240..450,440,2025-09-21T17:42:43Z,package.json,22,8,"GHSA-356w-63v5-8wf4,GHSA-vg6x-rcgg-rjx6,GHSA-g4jq-h2w9-997c,GHSA-xcj6-pq6g-qj4x,GHSA-x574-m823-4x7w,GHSA-859w-5945-r5v3,GHSA-jqfw-vq24-v9c3,GHSA-4r4m-qw57-chr8","CVE-2025-30208,CVE-2025-31486,CVE-2025-24010,CVE-2025-46565,CVE-2025-31125,CVE-2025-58752,CVE-2025-32395,CVE-2025-58751",5.3,"MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,LOW",42
meceware/wapy.dev,240..450,441,2025-09-22T03:37:59Z,package.json,58,1,GHSA-4342-x723-ch2f,CVE-2025-57822,,MODERATE,0
jellyfin/jellyfin-ios,240..450,440,2025-09-24T13:33:06Z,package.json,77,2,"GHSA-4hjh-wcwx-xvwj,GHSA-2j79-8pqc-r7x6","CVE-2025-58754,CVE-2022-24373",7.5,"HIGH,HIGH",0
sauravhathi/atsresume,240..450,439,2025-09-18T14:19:45Z,package.json,15,1,GHSA-7fh5-64p2-3v2j,CVE-2023-44270,,MODERATE,0
hCaptcha/react-hcaptcha,240..450,439,2025-09-24T11:23:33Z,package.json,22,2,"GHSA-4vvj-4cpr-p986,GHSA-968p-4wvh-cqc8","CVE-2025-27789,CVE-2024-43788",6.4,"MODERATE,MODERATE",0
protocolbuffers/protobuf-javascript,240..450,438,2025-09-15T03:16:41Z,package.json,7,0,,,,,0
rvagg/bl,240..450,437,2025-09-15T02:06:30Z,package.json,8,0,,,,,0
IBM/mobx-react-router,240..450,439,2025-09-03T11:59:22Z,package.json,27,2,"GHSA-4vvj-4cpr-p986,GHSA-cpj6-fhp6-mr6j","CVE-2025-43865,CVE-2024-43788",6.4,"MODERATE,HIGH",0
BretFisher/docker-mastery-for-nodejs,240..450,440,2025-09-19T03:49:37Z,package.json,99,12,"GHSA-rv95-896h-c2vc,GHSA-7f5c-rpf4-86p8,GHSA-fwr7-v2mv-hh25,GHSA-qw6h-vgh9-j6wx,GHSA-fxwf-4rqh-v8g3,GHSA-qwcr-r2fm-qrc7,GHSA-gxpj-cx7g-858c,GHSA-9qgm-w87q-hx89,GHSA-xrjf-phvv-r4vr,GHSA-25hc-qcg6-38wj,GHSA-3965-hpx2-q597,GHSA-gwg9-rgvj-4h5j","CVE-2022-27263,CVE-2020-28481,CVE-2024-29041,CVE-2019-5413,CVE-2024-43796,CVE-2024-45590,CVE-2024-36361,CVE-2021-43138,CVE-2022-0764,CVE-2024-38355,CVE-2021-32822,CVE-2017-16137","7.5,7.8,7.5,9.8,5.0,7.5,7.5,5.3,7.8,5.0","HIGH,MODERATE,HIGH,LOW,HIGH,HIGH,LOW,MODERATE,CRITICAL,MODERATE,CRITICAL,MODERATE,LOW,HIGH,HIGH,MODERATE,MODERATE,HIGH,MODERATE,LOW,MODERATE",2
intri-in/manage-my-damn-life-nextjs,240..450,439,2025-09-22T15:04:11Z,package.json,79,2,"GHSA-4hjh-wcwx-xvwj,GHSA-4342-x723-ch2f","CVE-2025-58754,CVE-2025-57822",7.5,"MODERATE,HIGH",0
sindresorhus/electron-is-dev,240..450,436,2025-09-22T13:56:32Z,package.json,2,0,,,,,0
sindresorhus/p-event,240..450,436,2025-09-10T16:54:17Z,package.json,6,0,,,,,0
terser/html-minifier-terser,240..450,437,2025-09-17T02:55:17Z,package.json,30,13,"GHSA-356w-63v5-8wf4,GHSA-64vr-g452-qvp3,GHSA-vg6x-rcgg-rjx6,GHSA-gcx4-mw62-g8wm,GHSA-9cwx-2883-4wfx,GHSA-g4jq-h2w9-997c,GHSA-c24v-8rfc-w8vw,GHSA-xcj6-pq6g-qj4x,GHSA-x574-m823-4x7w,GHSA-859w-5945-r5v3,GHSA-jqfw-vq24-v9c3,GHSA-4r4m-qw57-chr8,GHSA-8jhw-289h-jh2g","CVE-2024-23331,CVE-2024-45811,CVE-2024-47068,CVE-2025-30208,CVE-2025-24010,CVE-2025-31486,CVE-2024-31207,CVE-2024-45812,CVE-2025-32395,CVE-2025-58751,CVE-2025-46565,CVE-2025-31125,CVE-2025-58752","6.1,5.3","HIGH,HIGH,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,LOW",42
highcharts/highcharts-angular,240..450,436,2025-09-22T07:26:22Z,package.json,42,4,"GHSA-qw6h-vgh9-j6wx,GHSA-rv95-896h-c2vc,GHSA-68x2-mx4q-78m7","CVE-2021-29489,CVE-2024-29041,CVE-2025-59052,CVE-2024-43796","5.0,7.6","HIGH,MODERATE,LOW,HIGH",0
NixOS/nix-pills,240..450,435,2025-09-24T15:58:02Z,package.json,0,0,,,,,0
tevko/Resources,240..450,434,2025-09-22T01:30:53Z,package.json,1,0,,,,,0
fangyuan99/cookie-share,240..450,433,2025-09-22T08:21:15Z,package.json,0,0,,,,,0
davtur19/DotGit,240..450,432,2025-09-15T08:04:06Z,package.json,0,0,,,,,0
web-platform-tests/interop,240..450,432,2025-09-23T14:13:37Z,package.json,3,0,,,,,0
staticGuru/SPA-Landing-Page,240..450,432,2025-09-22T21:10:11Z,package.json,10,1,GHSA-7fh5-64p2-3v2j,CVE-2023-44270,,MODERATE,0
devour-js/devour-client,240..450,432,2025-09-14T03:20:52Z,package.json,16,8,"GHSA-hrpp-h998-j3pp,GHSA-35jh-r3h4-6jhm,GHSA-29mw-wpgm-hmr9,GHSA-p6mc-m468-83gw,GHSA-4hjh-wcwx-xvwj,GHSA-jr5f-v2jv-69x6,GHSA-wf5p-g6vw-rhxx,GHSA-gqgv-6jq5-jjj9","CVE-2025-58754,CVE-2022-24999,CVE-2023-45857,CVE-2021-23337,CVE-2025-27152,CVE-2017-1000048,CVE-2020-28500,CVE-2020-8203","7.5,7.2,7.5","MODERATE,HIGH,HIGH,HIGH,MODERATE,HIGH,HIGH,HIGH",1
kromitgmbh/titra,240..450,434,2025-09-17T02:30:04Z,package.json,44,1,,CVE-2020-1481,8.8,,0
couetilc/react-social-icons,240..450,433,2025-09-09T18:31:19Z,package.json,33,4,"GHSA-356w-63v5-8wf4,GHSA-g4jq-h2w9-997c,GHSA-859w-5945-r5v3,GHSA-jqfw-vq24-v9c3","CVE-2025-58752,CVE-2025-32395,CVE-2025-46565,CVE-2025-58751",5.3,"MODERATE,MODERATE,LOW,LOW",0
Xzandro/sw-exporter,240..450,433,2025-09-13T16:30:40Z,package.json,37,9,"GHSA-6r2x-8pq8-9489,GHSA-4vvj-4cpr-p986,GHSA-8hc4-vh64-cxmj,GHSA-vmqv-hx8q-j7mg,GHSA-4hjh-wcwx-xvwj,GHSA-jr5f-v2jv-69x6,GHSA-p8p7-x288-28g6,GHSA-hc6q-2mpp-qw7j","CVE-2025-58754,CVE-2024-39338,CVE-2023-28155,CVE-2023-28154,CVE-2025-27152,CVE-2024-46993,CVE-2022-29257,CVE-2025-55305,CVE-2024-43788","6.6,7.5,6.4","HIGH,HIGH,HIGH,CRITICAL,MODERATE,MODERATE,MODERATE,MODERATE",0
jiwangyihao/source-j-legado,240..450,431,2025-09-24T05:15:20Z,package.json,0,0,,,,,0
tree-sitter/tree-sitter-rust,240..450,431,2025-09-23T07:02:26Z,package.json,6,0,,,,,0
Team-intN18-SoybeanSeclab/Phantom,240..450,431,2025-09-24T11:09:00Z,package.json,0,0,,,,,0
sindresorhus/cpy,240..450,431,2025-09-19T01:28:12Z,package.json,12,0,,,,,0
subramanianv/CertificateVerification,240..450,431,2025-09-22T21:09:40Z,package.json,21,13,"GHSA-rv95-896h-c2vc,GHSA-fwr7-v2mv-hh25,GHSA-qw6h-vgh9-j6wx,GHSA-qwcr-r2fm-qrc7,GHSA-jpcq-cgw6-v4j6,GHSA-cf4h-3jhx-xvhq,GHSA-8hfj-j24r-96c4,GHSA-gxr4-xjj5-5px2,GHSA-446m-mv8f-q348,GHSA-6c3j-c64m-qhgq","BIT-drupal-2020-11022,CVE-2024-29041,CVE-2022-0323,CVE-2024-43796,CVE-2022-24785,CVE-2024-45590,CVE-2021-43138,CVE-2020-11022,CVE-2017-18214,BIT-drupal-2020-11023,CVE-2019-11358,CVE-2020-11023,CVE-2021-23358","3.3,5.0,5.3,7.8,7.5,7.5,6.9","CRITICAL,MODERATE,LOW,HIGH,HIGH,HIGH,HIGH,MODERATE,MODERATE,MODERATE",6
florianheysen/geoloc,240..450,431,2025-09-22T21:09:40Z,package.json,19,13,"GHSA-7fh5-64p2-3v2j,GHSA-g5qg-72qw-gw5v,GHSA-xv57-4mr9-wg8v,GHSA-4hjh-wcwx-xvwj,GHSA-7gfc-8cq8-jh5f,GHSA-g77x-44xx-532m,MAL-2025-21003,GHSA-jr5f-v2jv-69x6,GHSA-wf5p-g6vw-rhxx,GHSA-f82v-jwr5-mffw,GHSA-c59h-r6p8-q9wc,GHSA-4342-x723-ch2f,GHSA-qpjv-v59x-3qc4","CVE-2025-58754,CVE-2025-55173,CVE-2025-57822,CVE-2025-27152,CVE-2023-46298,CVE-2025-32421,CVE-2024-47831,CVE-2023-44270,CVE-2025-57752,CVE-2023-45857,CVE-2025-29927,CVE-2024-51479",7.5,"MODERATE,CRITICAL,LOW,MODERATE,HIGH,LOW,MODERATE,MODERATE,MODERATE,UNKNOWN,MODERATE,HIGH,HIGH",0
poolifier/poolifier,240..450,432,2025-09-14T12:04:07Z,package.json,44,0,,,,,0
zapier/zapier-platform,240..450,435,2025-09-19T09:11:24Z,package.json,138,14,"GHSA-9crc-q9x8-hgqq,GHSA-h6q6-9hqw-rwfv,GHSA-fwr7-v2mv-hh25,GHSA-fjxv-7rqg-78g4,GHSA-wm7h-9275-46v2,GHSA-5fg8-2547-mr8q,GHSA-29mw-wpgm-hmr9,GHSA-cf4h-3jhx-xvhq,GHSA-crh6-fp67-6883,GHSA-p6mc-m468-83gw,GHSA-35jh-r3h4-6jhm,GHSA-jf85-cpcp-j695,GHSA-p8p7-x288-28g6,GHSA-r683-j2x4-v87g","CVE-2021-21366,CVE-2019-10744,CVE-2021-32796,CVE-2023-28155,CVE-2021-23337,CVE-2022-0235,CVE-2021-43138,CVE-2020-8203,CVE-2025-24964,CVE-2022-39353,CVE-2021-23358,CVE-2022-24434,CVE-2025-7783,CVE-2020-28500","7.2,3.3,7.8,8.8,7.5,9.4,7.2","CRITICAL,HIGH,MODERATE,HIGH,CRITICAL,HIGH,CRITICAL,HIGH,CRITICAL,HIGH,MODERATE,MODERATE,CRITICAL,MODERATE,HIGH,MODERATE",3
country-regions/country-region-data,240..450,430,2025-09-24T00:00:21Z,package.json,3,4,"GHSA-j383-35pm-c5h4,GHSA-rm36-94g8-835r,GHSA-m5pj-vjjf-4m3h,GHSA-cf4h-3jhx-xvhq","CVE-2022-1537,CVE-2021-23358,CVE-2020-7729,CVE-2022-0436","3.3,7.8","CRITICAL,HIGH,MODERATE,HIGH",2
wallabag/wallabagger,240..450,429,2025-09-19T07:02:07Z,package.json,7,0,,,,,0
nbbb15092/abc,240..450,429,2025-09-24T08:51:30Z,package.json,65,2,"GHSA-pfrx-2q88-qq97,GHSA-mhxj-85r3-2x55","CVE-2022-36313,CVE-2022-33987",5.5,"MODERATE,HIGH",0
thebigredgeek/apollo-resolvers,240..450,429,2025-06-06T08:13:16Z,package.json,20,2,"GHSA-qw6h-vgh9-j6wx,GHSA-rv95-896h-c2vc","CVE-2024-43796,CVE-2024-29041",5.0,"MODERATE,LOW",0
FoKit/Scripts,240..450,428,2025-09-15T19:53:17Z,package.json,0,0,,,,,0
instafluff/ComfyJS,240..450,428,2025-09-14T07:38:20Z,package.json,7,3,"GHSA-w7rc-rwvf-8q5r,GHSA-r683-j2x4-v87g,GHSA-4wf5-vphf-c2xc","CVE-2022-25858,CVE-2020-15168,CVE-2022-0235","8.8,5.3","LOW,HIGH,HIGH",2
Kaliiiiiiiiii-Vinyzu/patchright-nodejs,240..450,427,2025-09-24T11:07:25Z,package.json,2,0,,,,,0
sindresorhus/sparkly,240..450,427,2025-09-19T01:28:52Z,package.json,4,0,,,,,0
xavi-/node-copy-paste,240..450,427,2025-09-03T11:11:01Z,package.json,1,0,,,,,0
aws-samples/iam-identity-center-team,240..450,429,2025-09-23T21:31:39Z,package.json,34,4,"GHSA-wc69-rhjr-hc9g,GHSA-mf22-92pm-m8p8,GHSA-vp56-6g26-6827,GHSA-8hfj-j24r-96c4","CVE-2022-24785,CVE-2022-2596,CVE-2022-31129,CVE-2022-24709","7.5,5.9","HIGH,HIGH,MODERATE,HIGH",1
bsharper/atv-desktop-remote,240..450,428,2025-09-23T17:16:38Z,package.json,9,2,"GHSA-vmqv-hx8q-j7mg,GHSA-3h5v-q93c-6h6q","CVE-2025-55305,CVE-2024-37890",,"MODERATE,HIGH",0
KevinPayravi/indie-wiki-buddy,240..450,426,2025-09-23T16:12:20Z,package.json,0,0,,,,,0
fjb040911/free-sqlite,240..450,426,2025-09-24T16:31:19Z,package.json,41,1,GHSA-cpj6-fhp6-mr6j,CVE-2025-43865,,HIGH,0
GoogleChromeLabs/buffer-backed-object,240..450,425,2025-09-10T20:56:05Z,package.json,6,13,"GHSA-356w-63v5-8wf4,GHSA-64vr-g452-qvp3,GHSA-vg6x-rcgg-rjx6,GHSA-9cwx-2883-4wfx,GHSA-g4jq-h2w9-997c,GHSA-c24v-8rfc-w8vw,GHSA-xcj6-pq6g-qj4x,GHSA-x574-m823-4x7w,GHSA-859w-5945-r5v3,GHSA-jqfw-vq24-v9c3,GHSA-4r4m-qw57-chr8,GHSA-8jhw-289h-jh2g,GHSA-353f-5xf4-qw67","CVE-2024-23331,CVE-2024-45811,CVE-2023-34092,CVE-2025-30208,CVE-2025-24010,CVE-2025-31486,CVE-2024-31207,CVE-2024-45812,CVE-2025-32395,CVE-2025-58751,CVE-2025-46565,CVE-2025-31125,CVE-2025-58752",5.3,"HIGH,HIGH,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,LOW",34
expressjs/errorhandler,240..450,425,2025-09-01T09:36:50Z,package.json,13,0,,,,,0
byteball/obyte-gui-wallet,240..450,426,2025-09-17T10:50:31Z,package.json,57,17,"GHSA-4rq4-32rv-6wp6,GHSA-fvqr-27wr-82fm,GHSA-4xc9-xhrj-v574,GHSA-36fh-84j7-cv5h,GHSA-64g7-mvw6-v9qj,GHSA-x5rq-j2xg-h7qm,GHSA-jf85-cpcp-j695,GHSA-fwr7-v2mv-hh25,GHSA-j383-35pm-c5h4,GHSA-6r2x-8pq8-9489,GHSA-m5pj-vjjf-4m3h,GHSA-29mw-wpgm-hmr9,GHSA-jg8v-48h5-wgxg,GHSA-vmqv-hx8q-j7mg,GHSA-35jh-r3h4-6jhm,GHSA-rm36-94g8-835r,GHSA-p6mc-m468-83gw","CVE-2018-16487,CVE-2020-7729,CVE-2019-10744,CVE-2018-3721,CVE-2021-23337,CVE-2022-1537,CVE-2021-23413,CVE-2024-46993,CVE-2022-0436,CVE-2020-8203,CVE-2021-43138,CVE-2022-0144,CVE-2022-48285,CVE-2019-1010266,CVE-2025-55305,CVE-2020-28500","7.1,7.8,7.2,7.8,7.3","MODERATE,MODERATE,HIGH,MODERATE,HIGH,MODERATE,HIGH,MODERATE,HIGH,MODERATE,CRITICAL,HIGH,MODERATE,HIGH,HIGH,MODERATE,MODERATE",0
amclubs/am-cf-trojan,240..450,425,2025-09-22T15:52:58Z,package.json,0,0,,,,,0
replicate/inpainter,240..450,425,2025-08-28T19:34:12Z,package.json,15,1,GHSA-7fh5-64p2-3v2j,CVE-2023-44270,,MODERATE,0
pwndoc-ng/pwndoc-ng,240..450,428,2025-09-18T10:28:09Z,package.json,82,12,"GHSA-rv95-896h-c2vc,GHSA-x8qp-wqqm-57ph,GHSA-jr5f-v2jv-69x6,GHSA-4hjh-wcwx-xvwj,GHSA-p2ph-7g93-hw3m,GHSA-qw6h-vgh9-j6wx,GHSA-qwcr-r2fm-qrc7,GHSA-29mw-wpgm-hmr9,GHSA-vmqv-hx8q-j7mg,GHSA-35jh-r3h4-6jhm,GHSA-p6mc-m468-83gw,MAL-2025-22760","CVE-2025-58754,CVE-2025-53892,CVE-2024-29041,CVE-2021-23337,CVE-2025-27152,CVE-2024-43796,CVE-2025-27597,CVE-2024-45590,CVE-2020-8203,CVE-2025-55305,CVE-2020-28500","7.5,7.5,5.0,7.2","HIGH,HIGH,MODERATE,MODERATE,HIGH,HIGH,MODERATE,LOW,UNKNOWN,HIGH,MODERATE,HIGH",0
dopplertask/dopplertask,240..450,430,2025-09-22T01:36:52Z,package.json,164,9,"GHSA-4vvj-4cpr-p986,GHSA-rv95-896h-c2vc,GHSA-gcx4-mw62-g8wm,GHSA-9jgg-88mc-972h,GHSA-qw6h-vgh9-j6wx,GHSA-3xgq-45jj-v275,GHSA-4v9v-hfq4-rm2v,GHSA-968p-4wvh-cqc8,GHSA-hc6q-2mpp-qw7j","CVE-2025-30359,CVE-2024-47068,CVE-2024-21538,CVE-2024-29041,CVE-2023-28154,CVE-2024-43796,CVE-2025-30360,CVE-2025-27789,CVE-2024-43788","6.1,6.4,6.4,5.0,6.1,6.1,6.1,5.0","MODERATE,HIGH,CRITICAL,MODERATE,MODERATE,CRITICAL,MODERATE,MODERATE,MODERATE,HIGH,MODERATE,LOW,HIGH,MODERATE,MODERATE,HIGH,HIGH,MODERATE,LOW",0
webdiscus/ansis,240..450,425,2025-09-22T13:36:23Z,package.json,47,0,,,,,0
